Block;Rack;Line;Fruit_s;Generation;Date_O;Date_A;Line;Colonne;Treatment;Nb_eggs;Obs_O;Nb_adults;Obs_A,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L7;C6;Cranberry;209;LO;69;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L8;C6;Cranberry;313;LO;53;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L1;C7;Strawberry;84;AA;34;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L2;C7;Cherry;198;AA;69;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L3;C7;Cranberry;310;AA;52;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L4;C7;Strawberry;163;AA;9;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L5;C7;Cherry;125;AA;30;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L6;C7;Strawberry;112;AA;101;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L7;C7;Cherry;196;LO;35;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L8;C7;Cranberry;236;LO;31;LO,
2C;NA;CR5;Cranberry;G7;26/8/2017;9/9/2017;L1;C8;Cherry;173;AA;17;LO,
2C;NA;CR5;Cranberry;G7;26/8/2017;9/9/2017;L2;C8;Strawberry;220;AA;53;LO,
2C;NA;CR5;Cranberry;G7;26/8/2017;9/9/2017;L3;C8;Cranberry;61;AA;25;LO,
2C;NA;CR5;Cranberry;G7;26/8/2017;9/9/2017;L4;C8;Cranberry;112;AA;39;LO,
2A;NA;EG3;Rosehips;G7;24/8/2017;09/07/2017;L1;C1;Rosehips;142;AA;81;LO,
2A;NA;FR5;Strawberry;G7;24/8/2017;09/07/2017;L1;C10;Cherry;143;AA;34;LO,
2A;NA;CR4;Cranberry;G7;24/8/2017;09/07/2017;L1;C2;Cherry;122;AA;35;LO,
2A;NA;CR4;Cranberry;G7;24/8/2017;09/07/2017;L2;C2;Cranberry;129;AA;40;LO,
2A;NA;CR4;Cranberry;G7;24/8/2017;09/07/2017;L3;C2;Strawberry;155;AA;44;LO,
2A;NA;CR4;Cranberry;G7;24/8/2017;09/07/2017;L4;C2;Cranberry;300;AA;26;LO,
2A;NA;FI3;Fig;G7;24/8/2017;09/07/2017;L1;C3;Fig;227;AA;36;LO,
2A;NA;FR3;Strawberry;G7;24/8/2017;09/07/2017;L1;C4;Cherry;36;AA;17;LO,
2A;NA;FR3;Strawberry;G7;24/8/2017;09/07/2017;L2;C4;Strawberry;113;AA;34;LO,
2A;NA;FR3;Strawberry;G7;24/8/2017;09/07/2017;L3;C4;Cranberry;190;AA;30;LO,
2A;NA;CE4;Cherry;G7;24/8/2017;09/07/2017;L1;C5;Strawberry;176;AA;60;LO,
2A;NA;CE4;Cherry;G7;24/8/2017;09/07/2017;L2;C5;Cranberry;108;AA;57;LO,
2A;NA;CE4;Cherry;G7;24/8/2017;09/07/2017;L3;C5;Cherry;217;AA;53;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L1;C6;Cranberry;162;AA;20;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L2;C6;Strawberry;250;AA;24;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L3;C6;Cherry;204;AA;72;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L4;C6;Cranberry;199;AA;45;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L5;C6;Strawberry;304;AA;83;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L6;C6;Cherry;119;LO;49;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L1;C7;Cherry;159;AA;32;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L2;C7;Cranberry;25;AA;5;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L3;C7;Strawberry;152;AA;72;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L4;C7;Cherry;139;AA;57;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L5;C7;Cranberry;230;LO;13;LO,
2A;NA;FR4;Strawberry;G7;24/8/2017;09/07/2017;L6;C7;Strawberry;170;LO;45;LO,
2A;NA;CR5;Cranberry;G7;24/8/2017;09/07/2017;L1;C8;Cherry;194;AA;11;LO,
2A;NA;CR5;Cranberry;G7;24/8/2017;09/07/2017;L2;C8;Strawberry;142;AA;17;LO,
2A;NA;CR5;Cranberry;G7;24/8/2017;09/07/2017;L3;C8;Cranberry;135;AA;28;LO,
1A;NA;CE1;Cherry;G7;22/8/2017;5/9/2017;L1;C1;Cranberry;8;AA;2;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L1;C2;Strawberry;62;AA;31;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L1;C3;Cherry;144;AA;39;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L1;C4;Cherry;150;AA;42;LO,
1A;NA;CR1;Cranberry;G7;22/8/2017;5/9/2017;L1;C5;Cranberry;49;AA;28;LO,
1A;NA;CE2;Cherry;G7;22/8/2017;5/9/2017;L1;C6;Cherry;270;AA;3;LO,
1A;NA;CE3;Cherry;G7;22/8/2017;5/9/2017;L1;C7;Strawberry;170;AA;27;LO,
1A;NA;CR2;Cranberry;G7;22/8/2017;5/9/2017;L1;C8;Cranberry;217;AA;3;LO,
