Block;Rack;Line;Fruit_s;Generation;Date_O;Date_A;Line;Colonne;Treatment;Nb_eggs;Obs_O;Nb_adults;Obs_A,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L5;C6;Cranberry;171;AA;33;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L6;C6;Cranberry;54;AA;29;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L7;C6;Cranberry;94;AA;35;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L8;C6;Cranberry;25;AA;20;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L9;C6;Cranberry;40;AA;36;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L10;C6;Cranberry;33;AA;29;LO,
1B;IV;CE1;Cherry;G8;13/9/2017;27/9/17;L1;C1;Strawberry;35;AA;7;LO,
1B;IV;CE1;Cherry;G8;13/9/2017;27/9/17;L2;C1;Strawberry;145;AA;43;LO,
1B;IV;CE1;Cherry;G8;13/9/2017;27/9/17;L3;C1;Cherry;29;AA;13;LO,
1B;IV;CE1;Cherry;G8;13/9/2017;27/9/17;L4;C1;Cherry;16;AA;13;LO,
1B;IV;CE1;Cherry;G8;13/9/2017;27/9/17;L5;C1;Cranberry;69;AA;44;LO,
1B;IV;CE1;Cherry;G8;13/9/2017;27/9/17;L6;C1;Cranberry;19;AA;6;LO,
1B;IV;CE2;Cherry;G8;13/9/2017;27/9/17;L1;C2;Cranberry;62;AA;40;LO,
1B;IV;CR1;Cranberry;G8;13/9/2017;27/9/17;L1;C3;Strawberry;108;AA;46;LO,
1B;IV;CR1;Cranberry;G8;13/9/2017;27/9/17;L2;C3;Cranberry;57;AA;17;LO,
1B;IV;CE3;Cherry;G8;13/9/2017;27/9/17;L1;C4;Cherry;56;AA;15;LO,
1B;IV;CE3;Cherry;G8;13/9/2017;27/9/17;L2;C4;Cherry;33;AA;19;LO,
1B;IV;CE3;Cherry;G8;13/9/2017;27/9/17;L3;C4;Cherry;35;AA;12;LO,
1B;IV;CE3;Cherry;G8;13/9/2017;27/9/17;L4;C4;Strawberry;78;AA;22;LO,
1B;IV;CE3;Cherry;G8;13/9/2017;27/9/17;L5;C4;Strawberry;122;AA;32;LO,
1B;IV;CE3;Cherry;G8;13/9/2017;27/9/17;L1;C5;Cranberry;95;AA;62;LO,
1B;IV;CE3;Cherry;G8;13/9/2017;27/9/17;L2;C5;Cranberry;55;AA;47;LO,
1B;IV;CE3;Cherry;G8;13/9/2017;27/9/17;L3;C5;Cranberry;121;AA;77;LO,
1B;IV;CE3;Cherry;G8;13/9/2017;27/9/17;L4;C5;Cranberry;69;AA;45;LO,
1B;IV;CR2;Cranberry;G8;13/9/2017;27/9/17;L1;C6;Cherry;22;AA;8;LO,
1B;IV;CR2;Cranberry;G8;13/9/2017;27/9/17;L2;C6;Cherry;20;AA;14;LO,
1B;IV;CR2;Cranberry;G8;13/9/2017;27/9/17;L3;C6;Cranberry;26;AA;16;LO,
1B;IV;CR2;Cranberry;G8;13/9/2017;27/9/17;L4;C6;Cranberry;6;AA;3;LO,
1B;IV;FR2;Strawberry;G8;13/9/2017;27/9/17;L1;C7;Strawberry;137;AA;13;LO,
1B;IV;FR2;Strawberry;G8;13/9/2017;27/9/17;L2;C7;Strawberry;96;AA;20;LO,
1B;IV;FR2;Strawberry;G8;13/9/2017;27/9/17;L3;C7;Strawberry;66;AA;36;LO,
1B;IV;FR2;Strawberry;G8;13/9/2017;27/9/17;L4;C7;Cherry;74;AA;32;LO,
1B;IV;FR2;Strawberry;G8;13/9/2017;27/9/17;L5;C7;Cherry;79;AA;25;LO,
1B;IV;FR2;Strawberry;G8;13/9/2017;27/9/17;L6;C7;Cherry;53;AA;27;LO,
1B;IV;FR2;Strawberry;G8;13/9/2017;27/9/17;L7;C7;Cranberry;24;AA;11;LO,
1B;IV;CR3;Cranberry;G8;13/9/2017;27/9/17;L1;C8;Strawberry;105;AA;31;LO,
1B;IV;CR3;Cranberry;G8;13/9/2017;27/9/17;L2;C8;Strawberry;101;AA;31;LO,
1B;IV;CR3;Cranberry;G8;13/9/2017;27/9/17;L3;C8;Strawberry;20;AA;0;LO,
1B;IV;CR3;Cranberry;G8;13/9/2017;27/9/17;L4;C8;Strawberry;85;AA;28;LO,
1B;IV;CR3;Cranberry;G8;13/9/2017;27/9/17;L5;C8;Strawberry;75;AA;38;LO,
1B;IV;CR3;Cranberry;G8;13/9/2017;27/9/17;L6;C8;Strawberry;42;AA;17;LO,
1B;IV;CR3;Cranberry;G8;13/9/2017;27/9/17;L1;C9;Cherry;20;AA;13;LO,
1B;IV;CR3;Cranberry;G8;13/9/2017;27/9/17;L1;C10;Cranberry;41;AA;39;LO,
1B;IV;CR3;Cranberry;G8;13/9/2018;27/9/17;L2;C10;Cranberry;98;AA;29;LO,
1B;IV;CR3;Cranberry;G8;13/9/2019;27/9/17;L3;C10;Cranberry;47;AA;26;LO,
1B;IV;CR3;Cranberry;G8;13/9/2017;27/9/17;L4;C10;Cranberry;11;AA;13;LO,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L1;C2;Strawberry;152;AA;21;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L2;C2;Strawberry;142;AA;32;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L3;C2;Strawberry;176;AA;14;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L4;C2;Strawberry;153;AA;41;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L5;C2;Strawberry;134;AA;36;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L6;C2;Strawberry;143;AA;21;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L7;C2;Strawberry;85;AA;17;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L8;C2;Strawberry;188;AA;38;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L9;C2;Strawberry;72;AA;25;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L10;C2;Strawberry;131;AA;38;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L1;C3;Strawberry;152;AA;34;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L2;C3;Strawberry;161;AA;39;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L3;C3;Strawberry;34;AA;2;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L4;C3;Strawberry;57;AA;15;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L5;C3;Strawberry;82;AA;32;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L1;C4;Cherry;168;AA;35;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L2;C4;Cherry;125;AA;54;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L3;C4;Cherry;52;AA;41;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L4;C4;Cherry;134;AA;67;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L5;C4;Cherry;141;AA;70;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L6;C4;Cherry;214;AA;69;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L7;C4;Cherry;46;AA;31;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L8;C4;Cherry;82;AA;37;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L9;C4;Cherry;187;AA;50;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L10;C4;Cherry;134;AA;66;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L1;C5;Cherry;116;AA;45;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L2;C5;Cherry;26;AA;10;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L1;C6;Cranberry;21;AA;12;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L2;C6;Cranberry;83;AA;27;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L3;C6;Cranberry;101;AA;27;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L4;C6;Cranberry;56;AA;38;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L5;C6;Cranberry;205;AA;33;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L6;C6;Cranberry;96;AA;41;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L7;C6;Cranberry;103;AA;47;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L8;C6;Cranberry;119;AA;35;JF,
1C;V;FR1;Strawberry;G8;14/9/2017;28/9/17;L9;C6;Cranberry;69;AA;34;JF,
1C;VI;CE1;Cherry;G8;14/9/2017;28/9/17;L1;C1;Cherry;75;AA;20;JF,
1C;VI;CE1;Cherry;G8;14/9/2017;28/9/17;L2;C1;Strawberry;97;AA;25;JF,
1C;VI;CE1;Cherry;G8;14/9/2017;28/9/17;L3;C1;Strawberry;84;AA;34;JF,
1C;VI;CE1;Cherry;G8;14/9/2017;28/9/17;L4;C1;Strawberry;108;AA;38;JF,
1C;VI;CR1;Cranberry;G8;14/9/2017;28/9/17;L1;C2;Cherry;66;AA;38;JF,
1C;VI;CR1;Cranberry;G8;14/9/2017;28/9/17;L2;C2;Cherry;120;AA;41;JF,
1C;VI;CR1;Cranberry;G8;14/9/2017;28/9/17;L3;C2;Cranberry;129;AA;39;JF,
1C;VI;CE2;Cherry;G8;14/9/2017;28/9/17;L1;C3;Strawberry;75;AA;38;JF,
1C;VI;CE2;Cherry;G8;14/9/2017;28/9/17;L2;C3;Strawberry;131;AA;41;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L1;C4;Cranberry;154;AA;29;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L2;C4;Cranberry;189;AA;21;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L3;C4;Cherry;57;AA;32;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L4;C4;Cherry;65;AA;27;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L5;C4;Cherry;93;AA;34;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L6;C4;Cherry;56;AA;13;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L7;C4;Cherry;90;AA;33;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L1;C5;Strawberry;164;AA;30;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L2;C5;Strawberry;99;AA;41;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L3;C5;Strawberry;149;AA;36;JF,
1C;VI;CE3;Cherry;G8;14/9/2017;28/9/17;L4;C5;Strawberry;147;AA;38;JF,
1C;VI;CR2;Cranberry;G8;14/9/2017;28/9/17;L1;C6;Cherry;58;AA;11;JF,
1C;VI;CR2;Cranberry;G8;14/9/2017;28/9/17;L2;C6;Strawberry;160;AA;63;JF,
1C;VI;CR2;Cranberry;G8;14/9/2017;28/9/17;L3;C6;Strawberry;173;AA;45;JF,
1C;VI;FI1;Fig;G8;14/9/2017;28/9/17;L1;C7;Fig;7;AA;5;JF,
1C;VI;FI1;Fig;G8;14/9/2017;28/9/17;L2;C7;Fig;3;AA;1;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L1;C8;Strawberry;7;AA;2;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L2;C8;Strawberry;5;AA;2;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L3;C8;Strawberry;57;AA;4;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L4;C8;Strawberry;66;AA;1;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L5;C8;Strawberry;42;AA;1;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L6;C8;Strawberry;29;AA;1;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L7;C8;Strawberry;80;AA;2;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L8;C8;Strawberry;29;AA;0;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L9;C8;Cherry;0;AA;0;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L10;C8;Cherry;2;AA;0;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L1;C9;Cranberry;157;AA;27;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L2;C9;Cranberry;113;AA;35;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L3;C9;Cranberry;178;AA;68;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L4;C9;Cranberry;13;AA;2;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L5;C9;Cranberry;147;AA;44;JF,
1C;VI;CR3;Cranberry;G8;14/9/2017;28/9/17;L6;C9;Cranberry;71;AA;30;JF,
1C;VI;FR2;Strawberry;G8;14/9/2017;28/9/17;L1;C10;Cranberry;110;AA;23;JF,
1C;VI;FR2;Strawberry;G8;14/9/2017;28/9/17;L2;C10;Cherry;109;AA;35;JF,
1C;VI;FR2;Strawberry;G8;14/9/2017;28/9/17;L3;C10;Cherry;58;AA;18;JF,
1C;VI;FR2;Strawberry;G8;14/9/2017;28/9/17;L4;C10;Strawberry;77;AA;12;JF,
1C;VI;FR2;Strawberry;G8;14/9/2018;28/9/17;L5;C10;Strawberry;26;AA;0;JF,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L1;C2;Cherry;73;AA;30;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L2;C2;Cherry;86;AA;17;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L3;C2;Cherry;103;AA;34;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L4;C2;Cherry;81;AA;30;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L5;C2;Cherry;84;AA;26;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L6;C2;Cherry;49;AA;20;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L7;C2;Cherry;123;AA;28;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L8;C2;Cherry;60;AA;23;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L9;C2;Cherry;94;AA;20;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L10;C2;Cherry;95;AA;16;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L1;C3;Cherry;90;AA;33;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L2;C3;Cherry;53;AA;24;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L3;C3;Cherry;71;AA;33;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L4;C3;Cherry;5;AA;5;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L5;C3;Cherry;36;AA;9;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L6;C3;Cherry;19;AA;12;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L1;C4;Strawberry;120;AA;20;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L2;C4;Strawberry;121;AA;32;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L3;C4;Strawberry;13;AA;0;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L4;C4;Strawberry;88;AA;25;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L5;C4;Strawberry;110;AA;47;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L6;C4;Strawberry;89;AA;29;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L7;C4;Strawberry;84;AA;23;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L8;C4;Strawberry;135;AA;41;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L9;C4;Strawberry;165;AA;17;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L10;C4;Strawberry;129;AA;25;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L1;C5;Strawberry;130;AA;40;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L2;C5;Strawberry;99;AA;44;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L3;C5;Strawberry;103;AA;32;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L4;C5;Strawberry;134;AA;33;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L5;C5;Strawberry;112;AA;27;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L6;C5;Strawberry;102;AA;40;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L7;C5;Strawberry;44;AA;5;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L8;C5;Strawberry;85;AA;39;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L9;C5;Strawberry;139;AA;34;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L10;C5;Strawberry;35;AA;8;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L1;C6;Strawberry;137;AA;27;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L2;C6;Strawberry;72;AA;24;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L3;C6;Strawberry;43;AA;16;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L1;C7;Cranberry;106;AA;36;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L2;C7;Cranberry;39;AA;30;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L3;C7;Cranberry;15;AA;16;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L4;C7;Cranberry;125;AA;29;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L5;C7;Cranberry;110;AA;60;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L6;C7;Cranberry;60;AA;34;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L7;C7;Cranberry;106;AA;32;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L8;C7;Cranberry;18;AA;15;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L9;C7;Cranberry;67;AA;28;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L10;C7;Cranberry;162;AA;5;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L1;C8;Cranberry;113;AA;16;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L2;C8;Cranberry;160;AA;14;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L3;C8;Cranberry;72;AA;44;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L4;C8;Cranberry;124;AA;24;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L5;C8;Cranberry;106;AA;28;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L6;C8;Cranberry;44;AA;33;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L7;C8;Cranberry;45;AA;19;LO,
1D;VIII;FR1;Strawberry;G8;15/9/2017;29/9/17;L8;C8;Cranberry;108;AA;32;LO,
1D;IX;CE1;Cherry;G8;15/9/2017;29/9/17;L1;C1;Strawberry;123;AA;23;LO,
1D;IX;CE1;Cherry;G8;15/9/2017;29/9/17;L2;C1;Strawberry;82;AA;21;LO,
1D;IX;CE1;Cherry;G8;15/9/2017;29/9/17;L3;C1;Strawberry;209;AA;21;LO,
1D;IX;CE1;Cherry;G8;15/9/2017;29/9/17;L4;C1;Cranberry;33;AA;21;LO,
1D;IX;CE1;Cherry;G8;15/9/2017;29/9/17;L5;C1;Cranberry;53;AA;33;LO,
1D;IX;CE1;Cherry;G8;15/9/2017;29/9/17;L6;C1;Cherry;65;AA;16;LO,
1D;IX;CE1;Cherry;G8;15/9/2017;29/9/17;L7;C1;Cherry;60;AA;27;LO,
1D;IX;CR1;Cranberry;G8;15/9/2017;29/9/17;L1;C2;Cranberry;84;AA;27;LO,
1D;IX;CR1;Cranberry;G8;15/9/2017;29/9/17;L2;C2;Cranberry;185;AA;48;LO,
1D;IX;CR1;Cranberry;G8;15/9/2017;29/9/17;L3;C2;Cranberry;118;AA;53;LO,
1D;IX;CE2;Cherry;G8;15/9/2017;29/9/17;L1;C3;Strawberry;111;AA;33;LO,
1D;IX;CE2;Cherry;G8;15/9/2017;29/9/17;L2;C3;Strawberry;40;AA;13;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L1;C4;Cranberry;23;AA;7;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L2;C4;Cherry;25;AA;8;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L3;C4;Cherry;99;AA;26;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L4;C4;Cherry;122;AA;35;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L5;C4;Cherry;71;AA;9;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L6;C4;Cherry;48;AA;14;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L7;C4;Cherry;81;AA;35;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L8;C4;Cranberry;93;AA;36;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L9;C4;Cranberry;5;AA;0;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L10;C4;Cranberry;37;AA;23;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L1;C5;Strawberry;101;AA;3;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L2;C5;Strawberry;125;AA;38;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L3;C5;Strawberry;26;AA;3;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L4;C5;Strawberry;0;AA;0;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L5;C5;Strawberry;29;AA;0;LO,
1D;IX;CE3;Cherry;G8;15/9/2017;29/9/17;L6;C5;Strawberry;52;AA;9;LO,
1D;IX;CR2;Cranberry;G8;15/9/2017;29/9/17;L1;C6;Cherry;94;AA;23;LO,
1D;IX;CR2;Cranberry;G8;15/9/2017;29/9/17;L2;C6;Cranberry;48;AA;29;LO,
1D;IX;CR2;Cranberry;G8;15/9/2017;29/9/17;L3;C6;Cranberry;111;AA;43;LO,
1D;IX;CR2;Cranberry;G8;15/9/2017;29/9/17;L4;C6;Cranberry;74;AA;18;LO,
1D;IX;CR2;Cranberry;G8;15/9/2017;29/9/17;L5;C6;Strawberry;23;AA;0;LO,
1D;IX;CR2;Cranberry;G8;15/9/2017;29/9/17;L6;C6;Strawberry;24;AA;0;LO,
1D;IX;CR2;Cranberry;G8;15/9/2017;29/9/17;L7;C6;Strawberry;31;AA;0;LO,
1D;IX;FR2;Strawberry;G8;15/9/2017;29/9/17;L1;C7;Cranberry;31;AA;20;LO,
1D;IX;FR2;Strawberry;G8;15/9/2017;29/9/17;L2;C7;Cherry;85;AA;13;LO,
1D;IX;FR2;Strawberry;G8;15/9/2017;29/9/17;L3;C7;Cherry;116;AA;15;LO,
1D;IX;FR2;Strawberry;G8;15/9/2017;29/9/17;L4;C7;Cherry;56;AA;3;LO,
1D;IX;FR2;Strawberry;G8;15/9/2017;29/9/17;L5;C7;Strawberry;52;AA;0;LO,
1D;IX;FR2;Strawberry;G8;15/9/2017;29/9/17;L6;C7;Strawberry;28;AA;0;LO,
1D;IX;FR2;Strawberry;G8;15/9/2017;29/9/17;L7;C7;Strawberry;106;AA;1;LO,
1D;IX;FR2;Strawberry;G8;15/9/2017;29/9/17;L8;C7;Cranberry;72;AA;36;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L1;C8;Cherry;167;AA;2;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L2;C8;Cherry;71;AA;11;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L3;C8;Cherry;17;AA;5;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L4;C8;Cranberry;61;AA;25;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L5;C8;Cranberry;46;AA;14;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L6;C8;Cranberry;23;AA;15;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L1;C9;Cranberry;2;AA;1;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L2;C9;Cranberry;7;AA;0;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L3;C9;Cranberry;25;AA;14;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L4;C9;Cranberry;43;AA;21;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L5;C9;Cranberry;7;AA;0;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L6;C9;Cranberry;18;AA;5;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L7;C9;Cranberry;14;AA;9;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L8;C9;Cranberry;75;AA;22;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L9;C9;Cranberry;89;AA;46;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L10;C9;Cranberry;58;AA;38;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L1;C10;Strawberry;66;AA;14;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L2;C10;Strawberry;15;AA;11;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L3;C10;Strawberry;122;AA;19;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L4;C10;Strawberry;75;AA;10;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L5;C10;Strawberry;6;AA;0;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L6;C10;Strawberry;50;AA;0;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L7;C10;Strawberry;46;AA;0;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L8;C10;Strawberry;56;AA;0;LO,
1D;IX;CR3;Cranberry;G8;15/9/2017;29/9/17;L9;C10;Strawberry;0;AA;0;LO,
1D;IX;Fi2;Fig;G8;15/9/2017;29/9/17;L9;C10;Fig;105;AA;10;LO,
2A;VII;EG3;Rosehips;G8;14/9/2017;28/9/17;L1;C1;Rosehips;74;AA;8;JF,
